Player,Team,RAA,Wins,EFscore,Salary,Value
Mohammed Shami,Kings XI Punjab,69,0.23800000000000002,0.131,685700.0,942106.0
SN Khan,Kings XI Punjab,63,0.218,0.055,35700.0,911484.0
O Thomas,Rajasthan Royals,63,0.21600000000000005,0.038,157100.0,908422.0
AM Rahane,Rajasthan Royals,60,0.20800000000000002,0.10300000000000001,625000.0,896173.0
JC Archer,Rajasthan Royals,59,0.205,0.10400000000000001,1125000.0,891580.0
KD Karthik,Kolkata Knight Riders,59,0.203,0.075,1156250.0,888518.0
KA Pollard,Mumbai Indians,57,0.19699999999999998,0.076,843750.0,879331.0
MM Ali,Royal Challengers Bangalore,52,0.179,0.10400000000000001,265630.0,851772.0
SS Iyer,Delhi Capitals,47,0.162,0.102,1093750.0,825743.0
CA Lynn,Kolkata Knight Riders,44,0.153,0.095,1500000.0,811963.0
DW Steyn,Royal Challengers Bangalore,42,0.145,0.031,345000.0,799715.0
J Suchith,Delhi Capitals,33,0.115,0.021,16667.0,753782.0
RV Uthappa,Kolkata Knight Riders,32,0.11199999999999999,0.07200000000000001,1000000.0,749189.0
MJ Santner,Chennai Super Kings,32,0.111,0.044000000000000004,78130.0,747658.0
